qc_id,match/rank id,laboratorio,specimen id,lat (y),long (x),icon_url
"0",DR018,SC,Criciuma,-28.7096031,-49.4485351,./0.png
"1",DR018,PF,3110Q64,-25.516619,-54.651094,./0.png
