qc_id,match/rank id,specimen id,lat (y),long (x),icon_url
"0",DR04,9746-2018-Q2 = TIAGO CRISTIANO JUSTE,-23.478377,-46.236255,./0.png
"1",DR04,3260Q2 = TIAGO CRISTIANO JUSTE,-24.8599945,-54.3460774,./0.png
